"Name","Footprint","Centre X","Centre Y","Side","Rotation","Description"
"D3","SODFL4626X110N","37.55","6.71","Top","90.00","1N4007F"
"TP24V","DSC","7.45","52.96","Top","0.00","1WP"
"TP5v","DSC","32.08","44.16","Top","0.00","1WP"
"C3","CAPPM3528X200N","23.45","42.86","Top","270.00","6TPE220MAZB"
"C4","CAPPM3528X200N","27.45","42.86","Top","270.00","6TPE220MAZB"
"C1","CAPAE1030X1270N","27.75","33.33","Top","0.00","50SVPF68M"
"C26","CAPAE1030X1270N","20.35","21.73","Top","0.00","50SVPF68M"
"C21","SM0805","38.97","62.98","Top","0.00","08051A220JATDA"
"C20","SM0805","38.99","59.71","Top","0.00","08051A220JATDA"
"C2","C0805","5.83","46.53","Top","0.00","08055C103KATDA"
"C9","C0805","18.33","13.27","Top","90.00","08055C103KATDA"
"C7","C0805","16.08","12.07","Top","90.00","08055C103KATDA"
"C11","C0805","61.25","36.51","Top","270.00","08055C103KATDA"
"C17","C0805","54.78","15.58","Top","0.00","08055C103KATDA"
"C15","C0805","30.75","66.00","Top","180.00","08055C103KATDA"
"C19","C0805","30.75","79.88","Top","180.00","08055C103KATDA"
"C24","C0805","39.30","34.88","Top","180.00","08055C103KATDA"
"C12","C0805","13.93","12.07","Top","90.00","08055C104KATDA"
"C5","C0805","20.63","13.32","Top","90.00","08055C104KATDA"
"C8","C0805","59.00","36.51","Top","270.00","08055C104KATDA"
"C10","C0805","56.13","11.72","Top","90.00","08055C104KATDA"
"C14","C0805","54.77","17.80","Top","0.00","08055C104KATDA"
"C25","C0805","39.31","37.08","Top","180.00","08055C104KATDA"
"C27","C0805","18.70","41.79","Top","270.00","08055C104KATDA"
"C22","C0805","42.69","29.38","Top","180.00","08055C222KATDA"
"C23","C0805","42.18","22.48","Top","0.00","08055C222KATDA"
"J1","SHDR4W100P0X508_1X4_2132X1200X","6.30","19.38","Top","270.00","1869237"
"ETH","23019949","13.81","72.23","Top","270.00","2301994-9"
"RGB","61201621721","52.94","72.89","Top","0.00","61201621721"
"Y3","ABM3B","42.13","26.37","Top","180.00","ABM3B-8.000MHZ-10-1-U-T"
"Y1","ABM3B","44.25","61.03","Top","90.00","ABM3B-25.000MHZ-10-1-U-T"
"FL1","BLM21BB050SH1D","35.74","79.08","Top","90.00","BLM21BB050SH1D_250_100Mhz_0805"
"PRGM","DSC","44.70","13.50","Top","270.00","CONN_SIL_5"
"C16","FKV(D)","34.63","18.68","Top","90.00","EEEFK1C101AP"
"IC4","SOIC127P1030X265-28N","49.25","51.11","Top","90.00","ENC28J60-I_SO"
"Fid4","USER","64.35","3.15","Top","0.00","Fiducial"
"Fid2","USER","3.17","86.22","Top","0.00","Fiducial"
"Fid3","USER","64.40","86.22","Top","0.00","Fiducial"
"Fid1","USER","3.15","3.17","Top","0.00","Fiducial"
"5V","DSC","23.08","4.64","Top","180.00","LED"
"3V","DSC","29.08","4.64","Top","180.00","LED"
"IC2","SOT230P700X180-4N","26.88","11.68","Top","0.00","LM1117IMPX3.3_NOPB"
"PIC32","SOIC127P1030X265-28N","51.68","28.68","Top","0.00","PIC32MX170F256B-50I_SO"
"R14","SM0805","8.04","60.38","Top","180.00","R 0.1W SMTF 1.0K"
"R15","SM0805","14.99","60.43","Top","180.00","R 0.1W SMTF 1.0K"
"R16","SM0805","42.50","36.24","Top","90.00","R 0.1W SMTF 1.0K"
"R17","SM0805","19.08","7.87","Top","90.00","R 0.1W SMTF 1.0K"
"R18","SM0805","32.98","8.17","Top","90.00","R 0.1W SMTF 1.0K"
"R9","SM0805","57.46","43.81","Top","180.00","R 0.1W SMTF 2.7K"
"R2","SM0805","5.19","33.78","Top","180.00","R 0.1W SMTF 3.3K"
"R1","SM0805","3.29","36.58","Top","180.00","R 0.1W SMTF 10K"
"R3","SM0805","46.05","42.30","Top","90.00","R 0.1W SMTF 10K"
"R4","SM0805","49.25","42.30","Top","90.00","R 0.1W SMTF 10K"
"R5","SM0805","53.47","11.48","Top","0.00","R 0.1W SMTF 10K"
"R10","SM0805","30.51","69.38","Top","180.00","R 0.1W SMTF 47"
"R11","SM0805","30.51","71.88","Top","180.00","R 0.1W SMTF 47"
"R12","SM0805","30.51","76.88","Top","180.00","R 0.1W SMTF 47"
"R13","SM0805","30.51","74.42","Top","180.00","R 0.1W SMTF 47"
"R6","SM0805","61.26","28.51","Top","180.00","R 0.1W SMTF 100"
"R7","SM0805","61.26","30.75","Top","180.00","R 0.1W SMTF 100"
"R8","SM0805","61.26","33.11","Top","180.00","R 0.1W SMTF 100"
"F1","RKEF075","10.00","34.90","Top","90.00","RKEF075"
"L1","INDPM125128X600N","25.13","52.88","Top","0.00","RLF12560T-100M7R5-PF"
"F2","RUEF300","13.32","3.42","Top","180.00","RUEF300"
"D1","SMC_DPAK","13.50","51.35","Top","90.00","SBRD10200TR"
"D4","DIONM5436X244N","15.20","32.88","Top","90.00","SMBJ6.5CA-Q"
"D5","DIONM5336X245N","15.20","40.18","Top","90.00","SMBJ36CA"
"C6","CAPPM3216X180N","59.98","39.83","Top","0.00","TCJA106M016R0200"
"C13","CAPPM3216X180N","61.15","25.41","Top","180.00","TCJA106M016R0200"
"C18","CAPPM3216X180N","41.58","43.21","Top","0.00","TCJA106M016R0200"
"RST","TL1105CF160Q","62.03","11.98","Top","90.00","TL1105CF160Q"
"IC1","SOIC127P600X170-9N","5.78","42.38","Top","0.00","TPS5450DDAR"
